game_id,country_id,name,in,out
0,1,Мануэль Нойер,0,90
0,1,Йозуа Киммих,0,90
0,1,Антонио Рюдигер,0,90
0,1,Джонатан Та,0,90
0,1,Максимилиан Миттельштедт,0,90
0,1,Роберт Андрих,0,46
0,1,Тони Кроос,0,80
0,1,Джамал Мусиала,0,74
0,1,Илкай Гюндоган,0,90
0,1,Флориан Вирц,0,63
0,1,Кай Хаверц,0,63
0,2,Ангус Ганн,0,90
0,2,Киран Тирни,0,77
0,2,Райан Портеус,0,45
0,2,Джек Хендри,0,90
0,2,Эндрю Робертсон,0,90
0,2,Каллум Макгрегор,0,67
0,2,Скотт Мактоминей,0,90
0,2,Энтони Ралстон,0,90
0,2,Райан Кристи,0,82
0,2,Че Адамс,0,46
0,2,Джон Макгинн,0,67
0,1,Паскаль Грос,46,90
0,2,Грант Хэнли,46,90
0,1,Лерой Зане,63,90
0,1,Никлас Фюллькруг,63,90
0,2,Билли Гилмор,67,90
0,2,Кенни Маклейн,67,90
0,1,Томас Мюллер,74,90
0,2,Скотт Маккенна,77,90
0,1,Эмре Джан,80,90
0,2,Лоуренс Шенкленд,82,90
1,3,Петер Гулачи,0,90
1,3,Адам Ланг,0,46
1,3,Вилли Орбан,0,90
1,3,Аттила Салаи,0,79
1,3,Аттила Фиола,0,90
1,3,Адам Надь,0,67
1,3,Андраш Шефер,0,90
1,3,Милош Керкез,0,79
1,3,Роланд Шаллаи,0,90
1,3,Барнабаш Варга,0,90
1,3,Доминик Собослаи,0,90
1,4,Янн Зоммер,0,90
1,4,Рикардо Родригес,0,90
1,4,Мануэль Аканджи,0,90
1,4,Фабиан Шер,0,90
1,4,Дан Ндойе,0,86
1,4,Ремо Фройлер,0,86
1,4,Гранит Джака,0,90
1,4,Сильван Видмер,0,68
1,4,Рубен Варгас,0,74
1,4,Квадво Дуа,0,68
1,4,Мишель Эбишер,0,90
1,3,Бендегуз Болла,46,90
1,3,Ласло Кляйнхайслер,67,90
